,Incident Datetime,Incident Description,Analysis Neighborhood,Intersection,Latitude,Longitude
89073,2018/06/23 06:00:00 PM,"Vehicle, Stolen, Motorcycle",Hayes Valley,HAYES ST \ SCOTT ST,37.77520593016615,-122.43612896530243
89086,2018/06/23 11:15:00 PM,"Vehicle, Stolen, Auto",Bayview Hunters Point,GILMAN AVE \ ARELIOUS WALKER DR,37.717178947506795,-122.38626501459228
89144,2018/06/24 05:10:00 PM,"Vehicle, Stolen, Auto",Golden Gate Park,STANYAN ST \ HAYES ST,37.77289517720077,-122.45428511766731
89156,2018/06/23 01:00:00 PM,"Vehicle, Stolen, Auto",Excelsior,NAPLES ST \ ITALY AVE,37.716189203874436,-122.4347322604887
89162,2018/06/24 05:00:00 AM,"Vehicle, Stolen, Auto",Financial District/South Beach,BATTERY ST \ BROADWAY,37.79858005321446,-122.40105129412208
89167,2018/06/23 09:00:00 PM,"Vehicle, Stolen, Auto",South of Market,FOLSOM ST \ MOSS ST,37.777179297336886,-122.40729368158074
89193,2018/06/24 02:30:00 PM,"Vehicle, Stolen, Auto",Sunset/Parkside,20TH AVE \ TARAVAL ST,37.74300263165964,-122.47676460087207
89235,2018/06/20 11:00:00 PM,"Vehicle, Stolen, Auto",Haight Ashbury,MASONIC AVE \ PAGE ST,37.77114193264378,-122.44553527914866
89250,2018/06/23 11:30:00 PM,"Vehicle, Stolen, Auto",Hayes Valley,HAYES ST \ BRODERICK ST,37.774778235595534,-122.43946621878344
89264,2018/06/24 08:30:00 AM,"Vehicle, Stolen, Motorcycle",Inner Richmond,CABRILLO ST \ 11TH AVE,37.775125350519865,-122.46922688286058
89413,2018/06/24 04:00:00 PM,"Vehicle, Stolen, Motorcycle",Pacific Heights,OCTAVIA ST \ CALIFORNIA ST,37.789742858922956,-122.42726040800972
89416,2018/06/24 12:00:00 PM,"Vehicle, Stolen, Motorcycle",Mission,23RD ST \ FLORIDA ST,37.75434061381649,-122.41021992662606
89430,2018/06/24 07:00:00 PM,"Vehicle, Stolen, Auto",Nob Hill,SUTTER ST \ JONES ST,37.788598202711206,-122.41354144348317
89434,2018/06/24 05:00:00 PM,"Vehicle, Stolen, Auto",Mission,17TH ST \ GUERRERO ST,37.76316782362078,-122.42395924405315
89441,2018/06/22 05:00:00 PM,"Vehicle, Stolen, Auto",Tenderloin,GEARY ST \ HYDE ST,37.78631021732119,-122.41644912401848
89444,2018/06/24 09:30:00 PM,"Vehicle, Stolen, Auto",Sunset/Parkside,35TH AVE \ TARAVAL ST,37.7422957922393,-122.49283694334244
89500,2018/06/24 06:00:00 PM,"Vehicle, Stolen, Truck",Excelsior,LISBON ST \ AVALON AVE,37.72654377709943,-122.4301697013263
89513,2018/06/24 09:00:00 PM,"Vehicle, Stolen, Auto",Mission,MARIPOSA ST \ HAMPSHIRE ST,37.76312179423945,-122.4083028146118
89547,2018/06/16 07:00:00 PM,"Vehicle, Stolen, Auto",Mission,24TH ST \ HARRISON ST,37.75262858904426,-122.41189982277923
89560,2018/06/25 02:00:00 PM,"Vehicle, Stolen, Truck",Nob Hill,LEAVENWORTH ST \ PINE ST,37.79025429821475,-122.41555908738222
89592,2018/06/20 09:00:00 PM,"Vehicle, Stolen, Auto",Outer Richmond,45TH AVE \ POINT LOBOS AVE,37.77989535963327,-122.50622149251808
89629,2018/06/01 04:00:00 AM,"Vehicle, Stolen, Auto",Hayes Valley,FELL ST \ SCOTT ST,37.77427667759977,-122.4359403291949
89650,2018/06/04 05:27:00 PM,"Vehicle, Stolen, Auto",Inner Sunset,KIRKHAM ST \ 09TH AVE,37.760311557773754,-122.4660503902008
89652,2018/06/25 07:00:00 AM,"Vehicle, Stolen, Auto",South of Market,OAK GROVE ST \ BRYANT ST,37.776920406100686,-122.40140937934281
89657,2018/06/24 11:30:00 AM,"Vehicle, Stolen, Auto",Mission,SOUTH VAN NESS AVE \ 18TH ST,37.76196752776193,-122.41717893750248
89689,2018/06/24 07:30:00 PM,"Vehicle, Stolen, Auto",Hayes Valley,VAN NESS AVE \ FELL ST,37.7763688686993,-122.41950629492428
89840,2018/06/25 06:00:00 PM,"Vehicle, Stolen, Auto",Bayview Hunters Point,RHODE ISLAND ST \ 26TH ST,37.7506318835594,-122.40123195636716
89845,2018/06/25 10:00:00 AM,"Vehicle, Stolen, Auto",Mission Bay,03RD ST \ TOWNSEND ST,37.778851716626704,-122.39274978789827
89854,2018/06/25 09:00:00 PM,"Vehicle, Stolen, Auto",Bayview Hunters Point,AUGUSTA ST \ CHARTER OAK AVE,37.73434320093751,-122.40454403517866
89861,2018/06/16 10:00:00 PM,"Vehicle, Stolen & Recovered",Bayview Hunters Point,NEWCOMB AVE \ SELBY ST,37.74052854105072,-122.39912411100708
89870,2018/06/25 05:00:00 PM,"Vehicle, Stolen, Auto",Hayes Valley,BUCHANAN ST \ LILY ST,37.77392150293232,-122.42745183366584
89894,2018/06/24 06:00:00 PM,"Vehicle, Stolen, Auto",Bayview Hunters Point,BITTING AVE \ NEWHALL ST,37.72727689842394,-122.39908887644572
89924,2018/06/24 04:30:00 PM,"Vehicle, Stolen, Auto",Visitacion Valley,GENEVA AVE \ PARQUE DR,37.7091622050236,-122.42289332760807
89937,2018/06/26 03:25:00 AM,"Vehicle, Stolen, Auto",Mission,VALENCIA ST \ MCCOPPIN ST,37.77159510239282,-122.42252634633257
90035,2018/06/26 12:00:00 AM,"Vehicle, Stolen, Truck",Outer Mission,OTTAWA AVE \ DEL MONTE ST,37.71457712200671,-122.44493582886976
90038,2018/06/26 07:30:00 AM,"Vehicle, Stolen, Auto",Excelsior,NAPLES ST \ ITALY AVE,37.716189203874436,-122.4347322604887
90050,2018/06/20 06:00:00 PM,"Vehicle, Stolen, Auto",Western Addition,TURK ST \ BRODERICK ST,37.77943863627929,-122.4403967564802
90068,2018/06/26 07:53:00 PM,"Vehicle, Stolen, Auto",Financial District/South Beach,THE EMBARCADERO \ BATTERY ST \ LOMBARD ST,37.80407224940463,-122.4019734281221
90093,2018/06/24 04:00:00 PM,"Vehicle, Stolen, Auto",West of Twin Peaks,SAN BUENAVENTURA WAY \ SAN ANSELMO AVE,37.733598635969926,-122.46489714619919
90107,2018/06/26 03:30:00 PM,"Vehicle, Stolen, Auto",Hayes Valley,WALLER ST \ LAGUNA ST,37.77179534618179,-122.4253224845588
90115,2018/06/26 03:30:00 AM,"Vehicle, Stolen, Auto",Hayes Valley,WALLER ST \ LAGUNA ST,37.77179534618179,-122.4253224845588
90125,2018/06/26 07:38:00 PM,"Vehicle, Stolen, Auto",Financial District/South Beach,CALIFORNIA ST \ SANSOME ST,37.79306030002913,-122.40112634282394
90135,2018/06/26 11:48:00 PM,"Vehicle, Stolen, Truck",Portola,PAUL AVE \ SAN BRUNO AVE,37.7239199937262,-122.40206096816357
90146,2018/06/26 06:45:00 PM,"Vehicle, Stolen, Auto",South of Market,MARY ST \ MISSION ST,37.78211941829001,-122.40725467595034
90159,2018/06/27 02:38:00 AM,"Vehicle, Stolen & Recovered",Financial District/South Beach,WASHINGTON ST \ DRUMM ST,37.796346859010335,-122.39695784020823
90229,2018/06/26 09:00:00 AM,"Vehicle, Stolen, Auto",Bayview Hunters Point,NEWHALL ST \ EGBERT AVE,37.7267801832446,-122.39926974183443
90268,2018/06/26 05:45:00 PM,"Vehicle, Stolen, Auto",Sunset/Parkside,ULLOA ST \ 20TH AVE,37.74113822615672,-122.47663005034548
90269,2018/06/27 03:30:00 AM,"Vehicle, Stolen, Auto",Mission,VALENCIA ST \ MCCOPPIN ST,37.77159510239282,-122.42252634633257
90277,2018/06/27 12:30:00 AM,"Vehicle, Stolen, Auto",Mission,VALENCIA ST \ MCCOPPIN ST,37.77159510239282,-122.42252634633257
90284,2018/06/26 11:00:00 PM,"Vehicle, Stolen, Auto",Marina,GREEN ST \ PIERCE ST,37.79574121069869,-122.43859144873433
90296,2018/06/26 11:30:00 PM,"Vehicle, Stolen, Auto",Inner Sunset,LINCOLN WAY \ 16TH AVE,37.76559292273596,-122.47404531960231
90314,2018/06/26 05:00:00 PM,"Vehicle, Stolen, Truck",Visitacion Valley,VISITACION AVE \ SCHWERIN ST,37.71220622124655,-122.410640795949
90318,2018/06/27 08:35:00 AM,"Vehicle, Stolen & Recovered",Visitacion Valley,ARLETA AVE \ BAY SHORE BLVD \ SAN BRUNO AVE,37.71217948507751,-122.40245948022154
90330,2018/06/26 09:30:00 PM,"Vehicle, Stolen, Auto",Bernal Heights,VIRGINIA AVE \ LUNDYS LN,37.74244447178194,-122.41980697492096
90348,2018/06/27 10:54:00 AM,"Vehicle, Stolen & Recovered",Financial District/South Beach,SUTTER ST \ SANSOME ST,37.790247403765534,-122.4005552648304
90366,2018/06/26 01:50:00 PM,"Vehicle, Stolen, Auto",Nob Hill,JONES ST \ WASHINGTON ST,37.79410980578205,-122.41464763270851
90378,2018/06/26 11:30:00 PM,"Vehicle, Stolen, Auto",Sunset/Parkside,37TH AVE \ LAWTON ST,37.757116629846635,-122.49602149765327
90396,2018/06/27 05:30:00 AM,"Vehicle, Stolen, Truck",Financial District/South Beach,MALDEN ALY \ HOWARD ST,37.78703557918122,-122.3979323923355
90401,2018/06/27 03:50:00 AM,"Vehicle, Stolen, Auto",South of Market,04TH ST \ BRANNAN ST,37.7783268304671,-122.39653063923613
90429,2018/06/25 10:00:00 PM,"Vehicle, Stolen, Auto",Haight Ashbury,WALLER ST \ SCOTT ST,37.77054807903014,-122.43518408029905
90433,2018/06/27 01:30:00 PM,"Vehicle, Stolen, Auto",Tenderloin,VAN NESS AVE \ HAYES ST,37.7772998550869,-122.4196935668888
90458,2018/06/27 05:00:00 PM,"Vehicle, Stolen, Auto",Mission,UTAH ST \ 17TH ST,37.76454765275407,-122.4064291555878
90465,2018/06/26 12:00:00 PM,"Vehicle, Stolen, Auto",Western Addition,WILLOW ST \ FRANKLIN ST,37.78315142705044,-122.4225579822023
90472,2018/06/25 11:00:00 PM,"Vehicle, Stolen, Auto",South of Market,BRANNAN ST \ 05TH ST,37.776568381930794,-122.39875545059135
90571,2018/06/28 01:00:00 AM,"Vehicle, Stolen, Auto",Oceanview/Merced/Ingleside,LOBOS ST \ CAINE AVE,37.71498278041112,-122.45247422582248
90596,2018/06/27 07:30:00 PM,"Vehicle, Stolen, Auto",Castro/Upper Market,LIBERTY ST \ DOLORES ST,37.75742966987225,-122.42568946048748
90605,2018/06/27 03:00:00 PM,"Vehicle, Stolen, Auto",Outer Richmond,FULTON ST \ 14TH AVE,37.773114421804074,-122.47229734203228
90609,2018/06/27 11:00:00 PM,"Vehicle, Stolen, Auto",Bayview Hunters Point,NORTHRIDGE RD \ HARBOR RD,37.731009870385215,-122.37699954645048
90688,2018/06/27 09:00:00 PM,"Vehicle, Stolen, Motorcycle",Western Addition,FULTON ST \ BRODERICK ST,37.776644006389425,-122.43984423759115
90747,2018/05/30 03:00:00 PM,"Vehicle, Stolen, Auto",Tenderloin,ELLIS ST \ MASON ST,37.78528291631406,-122.40949752694893
90760,2018/06/28 05:00:00 AM,"Vehicle, Stolen, Auto",Potrero Hill,23RD ST \ PENNSYLVANIA AVE,37.75509563783832,-122.39288410139532
90768,2018/06/14 11:00:00 AM,"Vehicle, Stolen, Auto",Sunset/Parkside,TARAVAL ST \ 42ND AVE,37.741958749847264,-122.50033241931558
90805,2018/06/28 05:21:00 AM,"Vehicle, Stolen, Auto",Outer Richmond,FULTON ST \ LA PLAYA,37.77139603094359,-122.50989475109743
90841,2018/06/28 07:00:00 AM,"Vehicle, Stolen, Motorcycle",Potrero Hill,CAROLINA ST \ 17TH ST,37.764897506780926,-122.40063332132424
90851,2018/06/28 06:15:00 AM,"Vehicle, Stolen, Auto",Mission Bay,TOWNSEND ST \ 05TH ST,37.775332243096145,-122.39720631066976
90860,2018/06/28 09:15:00 AM,"Vehicle, Stolen, Auto",Bayview Hunters Point,INDUSTRIAL ST \ REVERE AVE,37.738990416154564,-122.40307582574934
90962,2018/06/29 03:35:00 AM,"Vehicle, Stolen, Auto",Lone Mountain/USF,WILLARD ST NORTH \ GOLDEN GATE AVE \ WILLARD ST,37.776825025027534,-122.45674590207621
90971,2018/06/22 02:45:00 AM,"Vehicle, Stolen, Attempted",Tenderloin,POWELL ST \ OFARRELL ST,37.786409612810886,-122.40803623744476
91119,2018/06/29 01:30:00 AM,"Vehicle, Stolen, Auto",Sunset/Parkside,24TH AVE \ LAWTON ST,37.7577310149976,-122.4820905130207
91129,2018/06/28 10:00:00 PM,"Vehicle, Stolen, Auto",Bayview Hunters Point,BAY SHORE BLVD \ COSGROVE ST,37.74239176061754,-122.40583815976385
91149,2018/06/29 08:05:00 AM,"Vehicle, Stolen, Auto",Outer Richmond,ANZA ST \ 46TH AVE,37.777141153826605,-122.5070935405303
91158,2018/06/28 05:00:00 PM,"Vehicle, Stolen, Auto",North Beach,POWELL ST \ CHESTNUT ST,37.80396348154274,-122.41158123585191
91160,2018/06/24 02:00:00 PM,"Vehicle, Stolen & Recovered",Bayview Hunters Point,THORNTON AVE \ POMONA ST,37.73085415535113,-122.39364555583076
91197,2018/06/29 08:00:00 AM,"Vehicle, Stolen, Motorcycle",Financial District/South Beach,BUSH ST \ SANSOME ST,37.791177172209395,-122.40074402274551
91265,2018/06/28 06:00:00 PM,"Vehicle, Stolen, Auto",Hayes Valley,DUBOCE AVE \ BELCHER ST,37.76939226074814,-122.43024736196622
91292,2018/06/26 11:00:00 PM,"Vehicle, Stolen, Auto",Bayview Hunters Point,MENDELL ST \ MCKINNON AVE,37.73585632338393,-122.38921984741468
91299,2018/06/28 09:30:00 PM,"Vehicle, Stolen & Recovered",Mission,20TH ST \ MISSION ST,37.75863256660654,-122.41905260777227
91303,2018/06/28 06:15:00 PM,"Vehicle, Stolen, Auto",Bernal Heights,CORTLAND AVE \ PUTNAM ST,37.73979247971289,-122.41073334437469
91330,2018/06/29 05:30:00 PM,"Vehicle, Stolen, Auto",Mission,VALENCIA ST \ CLINTON PARK,37.76927768510462,-122.42230830373131
91345,2018/06/29 08:35:00 PM,"Vehicle, Stolen & Recovered",Bayview Hunters Point,03RD ST \ QUESADA AVE,37.73322326126074,-122.39124449430719
91348,2018/06/29 02:00:00 AM,"Vehicle, Stolen, Truck",South of Market,08TH ST \ MINNA ST,37.77702641978903,-122.4126166682043
91399,2018/06/29 08:30:00 PM,"Vehicle, Stolen, Auto",Haight Ashbury,OAK ST \ BRODERICK ST,37.77292198083219,-122.4390886014416
91582,2018/06/29 11:30:00 PM,"Vehicle, Stolen, Truck",Potrero Hill,KANSAS ST \ 20TH ST,37.7596171009873,-122.40304821366644
91613,2018/06/28 06:00:00 PM,"Vehicle, Stolen, Auto",Mission,22ND ST \ FLORIDA ST,37.755941772472454,-122.410373354906
91620,2018/06/29 12:00:00 AM,"Vehicle, Stolen, Auto",Bernal Heights,PRENTISS ST \ CRESCENT AVE,37.734669531072996,-122.41244733280232
91635,2018/06/22 07:30:00 PM,"Vehicle, Stolen, Auto",South of Market,03RD ST \ PERRY ST,37.78211912156566,-122.39684142850209
91642,2018/06/29 10:00:00 PM,"Vehicle, Stolen, Auto",Excelsior,FRANCE AVE \ VIENNA ST,37.71736010593896,-122.43275390952348
91665,2018/06/30 02:30:00 AM,"Vehicle, Stolen, Auto",Outer Richmond,18TH AVE \ CALIFORNIA ST,37.78422249054388,-122.47750935009674
91670,2018/06/29 03:00:00 PM,"Vehicle, Stolen, Truck",Outer Richmond,18TH AVE \ CLEMENT ST,37.782360567992065,-122.477374311978
91676,2018/06/24 05:00:00 PM,"Vehicle, Stolen, Auto",Nob Hill,TAYLOR ST \ PINE ST,37.790672782946025,-122.41226618818564
91685,2018/06/28 07:30:00 PM,"Vehicle, Stolen, Auto",Oceanview/Merced/Ingleside,GRAFTON AVE \ BRIGHTON AVE,37.72003574125103,-122.4551184541362
91776,2018/06/30 09:30:00 AM,"Vehicle, Stolen, Auto",Mission,17TH ST \ GUERRERO ST,37.76316782362078,-122.42395924405315
91782,2018/06/30 06:00:00 PM,"Vehicle, Stolen, Auto",Tenderloin,LARKIN ST \ HAYES ST,37.77772275002857,-122.41640107183977
91789,2018/06/30 02:50:00 PM,"Vehicle, Stolen & Recovered",Tenderloin,ELLIS ST \ JONES ST,37.784866244538705,-122.41278212939852
91807,2018/06/30 10:00:00 PM,"Vehicle, Stolen, Auto",Western Addition,STARR KING WAY \ FRANKLIN ST \ OFARRELL ST,37.784546608788865,-122.42283808747601
91826,2018/06/30 10:00:00 PM,"Vehicle, Stolen, Auto",Financial District/South Beach,01ST ST \ MISSION ST,37.78976259679856,-122.3975744697393
92042,2018/06/30 02:30:00 PM,"Vehicle, Stolen, Auto",Hayes Valley,BUCHANAN ST \ LILY ST,37.77392150293232,-122.42745183366584
92044,2018/07/01 05:55:00 AM,"Vehicle, Stolen & Recovered",Visitacion Valley,SUNNYDALE AVE \ CORA ST \ TOMASO CT,37.71010920728878,-122.40958375636751
92051,2018/06/27 12:00:00 PM,"Vehicle, Stolen, Auto",Mission,16TH ST \ BRYANT ST,37.76560583760297,-122.41048669029504
92078,2018/07/01 01:00:00 AM,"Vehicle, Stolen, Auto",Financial District/South Beach,02ND ST \ BRYANT ST,37.783077853257645,-122.39361807641598
92080,2018/06/29 08:05:00 PM,"Vehicle, Stolen, Motorcycle",Financial District/South Beach,STOCKTON ST \ OFARRELL ST,37.78661534630179,-122.40639887891693
92099,2018/06/30 06:00:00 PM,"Vehicle, Stolen, Auto",Western Addition,LAGUNA ST \ MCALLISTER ST,37.779257970112454,-122.4268285575053
92102,2018/07/01 05:55:00 AM,"Vehicle, Stolen & Recovered",Visitacion Valley,SUNNYDALE AVE \ SANTOS ST,37.71234914596178,-122.41828342203628
92107,2018/06/29 07:30:00 AM,"Vehicle, Stolen, Motorcycle",Russian Hill,HYDE ST \ CHESTNUT ST,37.80292682687766,-122.41979728056107
92129,2018/06/24 11:00:00 PM,"Vehicle, Stolen, Auto",Potrero Hill,19TH ST \ CONNECTICUT ST,37.76124221709518,-122.3973717587936
92141,2018/07/01 03:00:00 PM,"Vehicle, Stolen, Auto",Bernal Heights,FAIR AVE \ MISSION ST,37.74559509558596,-122.41988576485541
92154,2018/06/10 06:00:00 AM,"Vehicle, Stolen, Auto",Bernal Heights,MAYFLOWER ST \ FRANCONIA ST,37.742355726116905,-122.408156951586
92185,2018/07/01 06:30:00 PM,"Vehicle, Stolen, Auto",South of Market,08TH ST \ MISSION ST,37.77745741894575,-122.41315769268931
92212,2018/07/01 05:30:00 PM,"Vehicle, Stolen, Auto",Financial District/South Beach,SUTTER ST \ KEARNY ST,37.789829338038246,-122.4038415643651
92452,2018/06/27 10:00:00 AM,"Vehicle, Stolen, Attempted",South of Market,BOARDMAN PL \ BRYANT ST,37.7751608100771,-122.40363551943442
92460,2018/06/30 03:00:00 PM,"Vehicle, Stolen, Auto",Mission,23RD ST \ SAN BRUNO AVE,37.75439579168715,-122.4044843659782
92463,2018/06/29 03:00:00 PM,"Vehicle, Stolen, Auto",Noe Valley,25TH ST \ DIAMOND ST,37.74956202651197,-122.43613769843235
92470,2018/07/01 06:00:00 PM,"Vehicle, Stolen, Auto",Pacific Heights,VALLEJO ST \ LYON ST,37.79376511962328,-122.44658786372358
92477,2018/07/01 05:00:00 PM,"Vehicle, Stolen, Auto",Mission,15TH ST \ MISSION ST,37.76667360056878,-122.41982523539404
92489,2018/07/01 07:00:00 PM,"Vehicle, Stolen, Motorcycle",Mission,OTIS ST \ BRADY ST,37.77230320284353,-122.41967183064224
92506,2018/07/01 10:00:00 PM,"Vehicle, Stolen, Auto",Outer Richmond,15TH AVE \ CALIFORNIA ST,37.78437045480409,-122.47424554120742
92511,2018/07/01 07:00:00 PM,"Vehicle, Stolen, Auto",Castro/Upper Market,16TH ST \ CHURCH ST,37.764507612191245,-122.42866513028684
92512,2018/07/01 10:00:00 PM,"Vehicle, Stolen, Auto",Outer Richmond,15TH AVE \ CALIFORNIA ST,37.78437045480409,-122.47424554120742
92533,2018/06/29 04:30:00 PM,"Vehicle, Stolen, Other Vehicle",Western Addition,EDDY ST \ WEBSTER ST,37.781645583405364,-122.4306092003424
92563,2018/06/28 02:00:00 PM,"Vehicle, Stolen, Auto",Visitacion Valley,SCHWERIN ST \ LELAND AVE,37.71330425449689,-122.41015039389215
92569,2018/05/01 06:00:00 PM,"Vehicle, Stolen, Auto",Inner Richmond,GEARY BLVD \ 08TH AVE,37.78092458611179,-122.46642690396864
92574,2018/06/25 08:00:00 PM,"Vehicle, Stolen, Auto",Pacific Heights,JACKSON ST \ DIVISADERO ST,37.791630841172726,-122.44115459318623
92580,2018/06/29 02:00:00 PM,"Vehicle, Stolen, Motorcycle",Haight Ashbury,HAIGHT ST \ CENTRAL AVE,37.77042636975509,-122.44364908724368
92607,2018/06/30 06:00:00 AM,"Vehicle, Stolen, Auto",South of Market,FOLSOM ST \ 09TH ST,37.773769345456756,-122.41161011784295
92611,2018/06/30 06:00:00 PM,"Vehicle, Stolen, Auto",Bayview Hunters Point,WALLACE AVE \ INGALLS ST,37.725354103710416,-122.38736826221584
92643,2018/07/02 03:32:00 PM,"Vehicle, Stolen, Auto",Castro/Upper Market,CHURCH ST \ DORLAND ST,37.762087690546814,-122.42843121132714
92645,2018/07/01 08:30:00 PM,"Vehicle, Stolen & Recovered",Mission,SOUTH VAN NESS AVE \ PLUM ST,37.770876469287494,-122.41802892099079
92653,2018/07/02 12:30:00 PM,"Vehicle, Stolen, Auto",South of Market,06TH ST \ MISSION ST,37.78097118232977,-122.40870867491721
92685,2018/07/02 03:28:00 AM,"Vehicle, Stolen & Recovered",Mission,SOUTH VAN NESS AVE \ PLUM ST,37.770876469287494,-122.41802892099079
92692,2018/07/02 03:28:00 AM,"Vehicle, Stolen & Recovered",Mission,SOUTH VAN NESS AVE \ PLUM ST,37.770876469287494,-122.41802892099079
92704,2018/07/02 03:28:00 AM,"Vehicle, Stolen & Recovered",Mission,SOUTH VAN NESS AVE \ PLUM ST,37.770876469287494,-122.41802892099079
92719,2018/07/01 03:00:00 PM,"Vehicle, Stolen, Auto",Visitacion Valley,VELASCO AVE \ SANTOS ST,37.709946902175886,-122.41934779895823
92758,2018/07/02 08:10:00 PM,"Vehicle, Stolen, Auto",Sunset/Parkside,KIRKHAM ST \ 37TH AVE,37.75898112134253,-122.49615248362291
92790,2018/07/02 05:30:00 PM,"Vehicle, Stolen, Auto",South of Market,MISSION ST \ 10TH ST,37.77527205930736,-122.41590818017241
92823,2018/07/02 06:00:00 PM,"Vehicle, Stolen, Auto",Bernal Heights,PARK ST \ HOLLY PARK CIR,37.7364483384327,-122.4192927974165
92909,2018/07/02 07:30:00 PM,"Vehicle, Stolen, Auto",Inner Sunset,ALOHA AVE \ 14TH AVE \ 15TH AVE,37.757465260225906,-122.47202704455877
92915,2018/06/28 01:00:00 PM,"Vehicle, Stolen, Auto",Haight Ashbury,WALLER ST \ CENTRAL AVE,37.769496997180674,-122.44346144210763
92919,2018/07/02 07:30:00 PM,"Vehicle, Stolen & Recovered",Western Addition,MCALLISTER ST \ BRODERICK ST,37.77758676678614,-122.4400269230782
92939,2018/07/02 05:00:00 PM,"Vehicle, Stolen, Auto",Tenderloin,EDDY ST \ HYDE ST,37.78351564008561,-122.41588253952084
92950,2018/07/03 01:00:00 AM,"Vehicle, Stolen, Auto",Inner Richmond,CABRILLO ST \ 07TH AVE,37.77532094545078,-122.46494209192045
92952,2018/07/02 05:00:00 PM,"Vehicle, Stolen, Auto",Hayes Valley,FELL ST \ BRODERICK ST,37.77384711871528,-122.43927679941127
92964,2018/07/02 09:00:00 PM,"Vehicle, Stolen, Auto",North Beach,FILBERT ST \ DARRELL PL,37.802004442142504,-122.40426232034088
92976,2018/07/03 08:20:00 AM,"Vehicle, Stolen & Recovered",Bayview Hunters Point,RANKIN ST \ INNES AVE,37.74265137802863,-122.3945891729007
92978,2018/06/28 04:00:00 PM,"Vehicle, Stolen, Auto",Bayview Hunters Point,KIRKWOOD AVE \ DORMITORY RD \ KISKA RD,37.729659692795856,-122.37492808154569
92986,2018/07/02 08:30:00 PM,"Vehicle, Stolen, Truck",Mission,SYCAMORE ST \ SAN CARLOS ST,37.76266631459156,-122.42021440147944
92992,2018/07/02 10:00:00 PM,"Vehicle, Stolen, Auto",West of Twin Peaks,VALDEZ AVE \ MONTECITO AVE,37.73011019573827,-122.45496180296324
92996,2018/07/03 12:45:00 PM,"Vehicle, Stolen, Auto",Outer Mission,ROME ST \ CAYUGA AVE,37.71574187323192,-122.4475103041168
92999,2018/07/02 10:00:00 PM,"Vehicle, Stolen & Recovered",North Beach,MIDWAY ST \ FRANCISCO ST,37.805204705311134,-122.40929919188042
93038,2018/06/29 02:00:00 PM,"Vehicle, Stolen, Auto",Outer Mission,BOSWORTH ST \ ROUSSEAU ST,37.73331312480039,-122.43027782207386
93054,2018/07/02 11:00:00 PM,"Vehicle, Stolen, Attempted",Potrero Hill,KANSAS ST \ 22ND ST,37.757068366649186,-122.40280294494585
93063,2018/07/02 09:00:00 PM,"Vehicle, Stolen, Motorcycle",Castro/Upper Market,SANCHEZ ST \ 14TH ST,37.767595240037345,-122.43119112088165
93093,2018/06/27 06:00:00 PM,"Vehicle, Stolen, Auto",Hayes Valley,FRANKLIN ST \ GROVE ST,37.778020759809216,-122.42152069939276
93096,2018/07/02 08:00:00 PM,"Vehicle, Stolen, Motorcycle",Nob Hill,VINE TER \ PINE ST,37.790833233857654,-122.41099802476623
93120,2018/06/30 02:00:00 PM,"Vehicle, Stolen, Truck",Outer Richmond,41ST AVE \ CABRILLO ST,37.77365267166324,-122.5014627232137
93176,2018/07/02 07:30:00 PM,"Vehicle, Stolen & Recovered",Financial District/South Beach,STOCKTON ST \ POST ST,37.788499477941336,-122.4067711451779
93188,2018/07/03 09:45:00 AM,"Vehicle, Stolen, Auto",South of Market,TEHAMA ST \ 05TH ST,37.78107659598018,-122.40440368339145
93305,2018/07/03 10:00:00 PM,"Vehicle, Stolen, Auto",South of Market,HOWARD ST \ 06TH ST,37.77973890462704,-122.40715948914877
93321,2018/07/04 12:30:00 AM,"Vehicle, Stolen, Auto",Pacific Heights,LAGUNA ST \ PINE ST,37.78857706706362,-122.42871211214431
93340,2018/07/04 11:00:00 AM,"Vehicle, Stolen, Motorcycle",Financial District/South Beach,STOCKTON ST \ OFARRELL ST,37.78661534630179,-122.40639887891693
93341,2018/07/02 08:00:00 PM,"Vehicle, Stolen, Auto",Oceanview/Merced/Ingleside,CHESTER AVE \ PAYSON ST,37.71217904897343,-122.47043908800363
93360,2018/06/28 09:30:00 PM,"Vehicle, Stolen & Recovered",Bernal Heights,ELSIE ST \ COSO AVE,37.745252742337016,-122.41610341013704
93363,2018/07/03 09:00:00 PM,"Vehicle, Stolen, Motorcycle",Tenderloin,GEARY ST \ LEAVENWORTH ST,37.7865198190659,-122.41480664938405
93380,2018/07/02 07:00:00 PM,"Vehicle, Stolen, Auto",West of Twin Peaks,TERESITA BLVD \ MARIETTA DR \ MOLIMO DR,37.737306589852274,-122.44622663483177
93397,2018/07/02 08:00:00 AM,"Vehicle, Stolen, Auto",Outer Mission,ALEMANY BLVD \ NAGLEE AVE,37.713886167379094,-122.448950444325
93528,2018/07/04 09:30:00 PM,"Vehicle, Stolen, Auto",Financial District/South Beach,SPEAR ST \ HOWARD ST,37.79131097014855,-122.39252462341119
93538,2018/07/04 11:30:00 AM,"Vehicle, Stolen, Auto",Mission,SOUTH VAN NESS AVE \ 17TH ST,37.763571602540715,-122.41733240731716
93569,2018/07/04 04:00:00 PM,"Vehicle, Stolen, Auto",Bayview Hunters Point,OAKDALE AVE \ RANKIN ST,37.73884664690457,-122.3978095470368
